timestamp,h_L2,h_L3,difference_L2_minus_L3,absolute_error,squared_error,delta_h_L2,delta_h_L3,delta_difference
2023-03-16 00:00:00+00:00,-8.647385204140802,-8.733681729407069,0.08629652526626685,0.08629652526626685,0.007447090273031433,-0.18743176772782277,-0.19123174720271585,0.003799979474893078
2023-03-17 00:00:00+00:00,-8.53061703048448,-8.601050899326433,0.07043386884195257,0.07043386884195257,0.004960929880045378,0.11676817365632175,0.13263083008063603,-0.01586265642431428
2023-03-20 00:00:00+00:00,-8.611935056797522,-8.71161403523304,0.09967897843551832,0.09967897843551832,0.009935898741948525,-0.08131802631304197,-0.11056313590660771,0.029245109593565743
2023-03-21 00:00:00+00:00,-8.774650608685683,-8.866528137081056,0.09187752839537389,0.09187752839537389,0.008441480224042735,-0.16271555188816045,-0.15491410184801602,-0.007801450040144431
2023-03-22 00:00:00+00:00,-8.578203599248633,-8.655036833545905,0.07683323429727196,0.07683323429727196,0.005903345892579488,0.1964470094370494,0.21149130353515133,-0.015044294098101929
2023-03-23 00:00:00+00:00,-8.619207120528564,-8.690736856373153,0.07152973584458877,0.07152973584458877,0.005116503109996648,-0.04100352127993112,-0.035700022827247935,-0.005303498452683186
2023-03-24 00:00:00+00:00,-8.700563799631977,-8.770252099550314,0.06968829991833658,0.06968829991833658,0.004856459145508031,-0.08135667910341304,-0.07951524317716085,-0.0018414359262521884
2023-03-27 00:00:00+00:00,-8.724347372248772,-8.796213000479991,0.07186562823121889,0.07186562823121889,0.005164668521067766,-0.023783572616794757,-0.025960900929677067,0.0021773283128823095
2023-03-28 00:00:00+00:00,-8.715904013474656,-8.772647572338855,0.05674355886419846,0.05674355886419846,0.003219831472574756,0.00844335877411595,0.02356542814113638,-0.01512206936702043
2023-03-29 00:00:00+00:00,-8.855128494024157,-8.947750559238651,0.09262206521449379,0.09262206521449379,0.00857884696459794,-0.1392244805495011,-0.17510298689979642,0.035878506350295325
